problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 995.7; 27.0; 946; 1056; 32.46; 0.0097
A-n33-k5; 661; 806.1; 21.95; 766; 845; 21.82; 0.0108
A-n33-k6; 742; 912.1; 22.92; 880; 937; 20.95; 0.0109
A-n34-k5; 778; 892.9; 14.77; 878; 905; 8.56; 0.0118
A-n36-k5; 799; 1043.3; 30.58; 1016; 1072; 15.9; 0.0132
A-n37-k5; 669; 892.3; 33.38; 844; 922; 22.9; 0.0145
A-n37-k6; 949; 1182.9; 24.65; 1088; 1246; 37.98; 0.014
A-n38-k5; 730; 903.2; 23.73; 860; 957; 29.13; 0.0161
A-n39-k5; 822; 989.2; 20.34; 952; 1027; 21.76; 0.0171
A-n39-k6; 831; 1060.1; 27.57; 1031; 1105; 23.05; 0.017
A-n44-k6; 937; 1133.5; 20.97; 1104; 1178; 24.65; 0.0242
A-n45-k6; 944; 1207.2; 27.88; 1175; 1233; 16.79; 0.0256
A-n45-k7; 1146; 1384.7; 20.83; 1354; 1402; 14.39; 0.0251
A-n46-k7; 914; 1171.8; 28.21; 1120; 1213; 24.74; 0.0265
A-n48-k7; 1073; 1377.1; 28.34; 1347; 1404; 15.42; 0.0303
A-n53-k7; 1010; 1320.8; 30.77; 1285; 1365; 28.81; 0.0395
A-n54-k7; 1167; 1385.9; 18.76; 1333; 1441; 25.89; 0.043
A-n55-k9; 1073; 1388.0; 29.36; 1344; 1428; 29.75; 0.0454
A-n60-k9; 1354; 1741.5; 28.62; 1686; 1799; 34.54; 0.056
A-n61-k9; 1034; 1335.0; 29.11; 1283; 1386; 31.13; 0.0611
A-n62-k8; 1288; 1658.3; 28.75; 1613; 1683; 20.74; 0.0622
A-n63-k10; 1314; 1725.9; 31.35; 1645; 1789; 45.23; 0.0633
A-n63-k9; 1616; 1986.8; 22.95; 1939; 2031; 29.09; 0.0639
A-n64-k9; 1401; 1802.5; 28.66; 1751; 1859; 37.63; 0.0676
A-n65-k9; 1174; 1584.2; 34.94; 1546; 1647; 29.42; 0.0706
A-n69-k9; 1159; 1576.9; 36.06; 1548; 1626; 24.55; 0.0865
A-n80-k10; 1763; 2301.9; 30.57; 2257; 2345; 27.92; 0.1291
A-n32-k5; 784; 1004.7; 28.15; 977; 1057; 24.58; 0.0094
A-n33-k5; 661; 798.7; 20.83; 770; 827; 16.33; 0.0109
A-n33-k6; 742; 881.9; 18.85; 806; 928; 37.12; 0.0106
A-n34-k5; 778; 894.0; 14.91; 889; 903; 4.58; 0.0119
A-n36-k5; 799; 1041.8; 30.39; 1002; 1071; 22.56; 0.0134
A-n37-k5; 669; 895.7; 33.89; 862; 939; 25.85; 0.0147
