problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 1146.1; 46.19; 1082; 1200; 29.25; 0.0141
A-n33-k5; 661; 939.5; 42.13; 835; 999; 50.02; 0.0179
A-n33-k6; 742; 1028.5; 38.61; 1000; 1056; 20.1; 0.0149
A-n34-k5; 778; 1051.0; 35.09; 952; 1113; 40.65; 0.02
A-n36-k5; 799; 1200.8; 50.29; 1137; 1237; 28.38; 0.0221
A-n37-k5; 669; 1058.5; 58.22; 972; 1120; 43.45; 0.0234
A-n37-k6; 949; 1346.0; 41.83; 1247; 1398; 45.51; 0.0238
A-n38-k5; 730; 1087.2; 48.93; 998; 1147; 43.37; 0.0255
A-n39-k5; 822; 1249.7; 52.03; 1204; 1305; 31.89; 0.0273
A-n39-k6; 831; 1317.6; 58.56; 1261; 1378; 35.88; 0.0289
A-n44-k6; 937; 1406.9; 50.15; 1313; 1481; 55.18; 0.0388
A-n45-k6; 944; 1517.1; 60.71; 1453; 1589; 39.97; 0.0392
A-n45-k7; 1146; 1718.2; 49.93; 1679; 1755; 25.52; 0.0405
A-n46-k7; 914; 1391.0; 52.19; 1330; 1457; 40.21; 0.0444
A-n48-k7; 1073; 1629.0; 51.82; 1542; 1695; 48.14; 0.0528
A-n53-k7; 1010; 1684.6; 66.79; 1561; 1754; 48.95; 0.0616
A-n54-k7; 1167; 1747.3; 49.73; 1709; 1819; 37.36; 0.0731
A-n55-k9; 1073; 1715.7; 59.9; 1649; 1820; 47.8; 0.0815
A-n60-k9; 1354; 2067.7; 52.71; 1968; 2100; 36.01; 0.0887
A-n61-k9; 1034; 1769.5; 71.13; 1669; 1820; 41.77; 0.1055
A-n62-k8; 1288; 2084.1; 61.81; 2018; 2185; 49.81; 0.1053
A-n63-k10; 1314; 2089.0; 58.98; 1977; 2135; 47.78; 0.1032
A-n63-k9; 1616; 2413.7; 49.36; 2318; 2498; 62.58; 0.1099
A-n64-k9; 1401; 2249.4; 60.56; 2034; 2347; 88.65; 0.1148
A-n65-k9; 1174; 2074.9; 76.74; 1999; 2166; 48.03; 0.122
A-n69-k9; 1159; 2152.9; 85.75; 2074; 2244; 54.56; 0.1424
A-n80-k10; 1763; 2983.6; 69.23; 2819; 3120; 74.18; 0.2185
X-n101-k25; 27591; 43968.3; 59.36; 43020; 44728; 502.43; 0.3868
X-n106-k14; 26362; 37035.8; 40.49; 36134; 37510; 394.19; 0.5332
X-n110-k13; 14971; 36147.4; 141.45; 34614; 36981; 734.67; 0.5408
X-n115-k10; 12747; 37810.7; 196.62; 36302; 38649; 707.02; 0.5506
X-n120-k6; 13332; 37613.4; 182.13; 36398; 38726; 629.26; 0.7042
X-n125-k30; 55539; 70785.7; 27.45; 69855; 72127; 686.79; 0.6464
X-n129-k18; 28940; 52541.2; 81.55; 51417; 53304; 606.57; 0.831
X-n134-k13; 10916; 24840.6; 127.56; 24184; 25480; 462.42; 0.9546
X-n139-k10; 13590; 42668.5; 213.97; 40056; 43882; 1097.58; 1.2624
X-n143-k7; 15700; 49073.5; 212.57; 47682; 49945; 695.25; 1.1917
X-n148-k46; 43448; 67259.6; 54.8; 65983; 67918; 622.58; 1.1784
X-n153-k22; 21220; 39435.3; 85.84; 38300; 40090; 563.87; 1.4729
X-n157-k13; 16876; 31716.4; 87.94; 28845; 32988; 1101.87; 1.9001
X-n162-k11; 14138; 46808.6; 231.08; 46146; 48146; 618.78; 2.0674
X-n167-k10; 20557; 56754.7; 176.08; 53908; 58503; 1195.62; 2.236
X-n172-k51; 45607; 72807.9; 59.64; 71784; 73547; 610.57; 2.0452
X-n176-k26; 47812; 85987.2; 79.84; 82867; 87633; 1360.22; 2.6003
X-n181-k23; 25569; 48322.2; 88.99; 47791; 49056; 341.28; 3.0896
X-n186-k15; 24145; 64847.8; 168.58; 63614; 66018; 740.51; 3.4988
X-n190-k8; 16980; 35364.5; 108.27; 34809; 35930; 346.48; 3.5037
X-n195-k51; 44225; 79849.7; 80.55; 77741; 80799; 787.52; 3.3518
X-n200-k36; 58578; 82308.7; 40.51; 80062; 83684; 992.01; 3.8773
