problem; optimal value; result; gap in %; avg. comp. time
A-n32-k5; 784; 1145.0; 46.05; 0.001
A-n33-k5; 661; 977.0; 47.81; 0.0
A-n33-k6; 742; 1042.0; 40.43; 0.0
A-n34-k5; 778; 982.0; 26.22; 0.0
A-n36-k5; 799; 1077.0; 34.79; 0.0
A-n37-k5; 669; 948.0; 41.7; 0.0
A-n37-k6; 949; 1334.0; 40.57; 0.0
A-n38-k5; 730; 1084.0; 48.49; 0.0
A-n39-k5; 822; 1070.0; 30.17; 0.0
A-n39-k6; 831; 1145.0; 37.79; 0.0
A-n44-k6; 937; 1391.0; 48.45; 0.0
A-n45-k6; 944; 1485.0; 57.31; 0.0
A-n45-k7; 1146; 1428.0; 24.61; 0.0
A-n46-k7; 914; 1335.0; 46.06; 0.0
A-n48-k7; 1073; 1475.0; 37.47; 0.0
A-n53-k7; 1010; 1444.0; 42.97; 0.0
A-n54-k7; 1167; 1421.0; 21.77; 0.0
A-n55-k9; 1073; 1500.0; 39.79; 0.0
A-n60-k9; 1354; 1837.0; 35.67; 0.0
A-n61-k9; 1034; 1399.0; 35.3; 0.0
A-n62-k8; 1288; 1775.0; 37.81; 0.0
A-n63-k10; 1314; 1934.0; 47.18; 0.0
A-n63-k9; 1616; 2188.0; 35.4; 0.0
A-n64-k9; 1401; 1964.0; 40.19; 0.0
A-n65-k9; 1174; 1749.0; 48.98; 0.0
A-n69-k9; 1159; 1513.0; 30.54; 0.0
A-n80-k10; 1763; 2348.0; 33.18; 0.0
X-n101-k25; 27591; 41944.0; 52.02; 0.002
X-n106-k14; 26362; 28896.0; 9.61; 0.001
X-n110-k13; 14971; 19292.0; 28.86; 0.001
X-n115-k10; 12747; 19330.0; 51.64; 0.001
X-n120-k6; 13332; 15889.0; 19.18; 0.0
X-n125-k30; 55539; 68354.0; 23.07; 0.0
X-n129-k18; 28940; 35956.0; 24.24; 0.0
X-n134-k13; 10916; 16526.0; 51.39; 0.0
X-n139-k10; 13590; 16845.0; 23.95; 0.001
X-n143-k7; 15700; 22533.0; 43.52; 0.0
X-n148-k46; 43448; 56663.0; 30.42; 0.001
X-n153-k22; 21220; 30160.0; 42.13; 0.0
X-n157-k13; 16876; 18704.0; 10.83; 0.0
X-n162-k11; 14138; 17889.0; 26.53; 0.0
X-n167-k10; 20557; 25381.0; 23.47; 0.0
X-n172-k51; 45607; 64976.0; 42.47; 0.0
X-n176-k26; 47812; 66368.0; 38.81; 0.0
X-n181-k23; 25569; 27718.0; 8.4; 0.0
X-n186-k15; 24145; 29253.0; 21.16; 0.0
X-n190-k8; 16980; 19985.0; 17.7; 0.0
X-n195-k51; 44225; 65018.0; 47.02; 0.0
X-n200-k36; 58578; 69192.0; 18.12; 0.0
